	text	label
1950	After the reporting period , BioTie North American licensing partner Somaxon Pharmaceuticals announced positive results with nalmefene in a pilot Phase 2 clinical trial for smoking cessation 	positive
4283	They will cover all Forest Industry 's units and employees in Finland and concern temporary and permanent lay-offs 	negative
3014	( ADP News ) - Nov 28 , 2008 - Finnish power-supply solutions provider Efore Oyj ( OMX : EFO1V ) announced today the launch of OPUS DC , the latest power system in its OPUS product line 	positive
4097	Following the transaction , Lundbeck has worldwide rights for nalmefene , excluding North America , Mexico , Turkey and South-Korea 	positive
2733	A few employees would remain at the Oulu plant in support functions for other group units 	neutral
1464	ASSA ABLOY Kaupthing Bank gave a ` neutral ' recommendation and a share price target of 174 crowns $ 24.7 - 19 euro on Swedish lock maker Assa Abloy AB 	neutral
1335	She will succeed Krister Kylas , who has decided to leave TeliaSonera 	neutral
4529	The first ship has been delayed and is estimated to be completed in spring 2010 	negative
1333	Shareholders of Rakvere Lihakombinaat decided in favor of the buyout of minority shares in mid-July 	positive
4833	In Finland 's Hobby Hall 's sales decreased by 10 % , and international sales fell by 19 % 	negative
1929	The use case dramatically narrows if you go only with the hot s Ltd	neutral
1983	The dollar bounced back after hitting another record low against the euro , which reached $ 1.41 for the first time 	neutral
225	Kesko 's car import and retailing business , VV-Auto , saw sales grow by 17.1 pct 	positive
1475	`` Small well targeted acquisitions have played an important role in executing Satama 's strategy in the past couple of years 	neutral
1198	Competition authorities will have to approve the deal before it can be finalized 	neutral
2617	The contracts comprise turnkey orders for RoRo systems for two RoRo-cruise vessels under construction for Viking Line and Tallink 	neutral
3728	Quartal Oy now owns 2,094,063 shares in Satama Interactive Plc , which represents 5,19 per cent of the share capital and voting rights 	neutral
4195	Global life science industry is strictly regulated by international and national authorities 	neutral
3675	Metsaliitto will sell 1.1 million B shares of Neomarkka , accounting for about 18.3 pct of Neomarkka 's equity and about 12.7 pct of the voting rights 	neutral
3565	Currently Glaston employs approximately 1,500 persons 	neutral
4352	The measures result from the statutory joint negotiations with employees which started in February and concerned all operations in the country 	neutral
3599	For 2009 , net profit was EUR 3 million and the company paid a dividend of EUR 1.30 apiece 	neutral
699	Salonen added that data shows producers ' pulp inventories in North America are declining . 	negative
84	The combination of all services enabling us to offer a complex and strengthened service chain not only limited to the Baltic port connections but also for getting access to the world wide Grimaldi Network into the Mediterranean , Africa and North America `` says Uwe Bakosch 	positive
235	Net interest income increased by 4.5 % to EUR 31.4 mn from EUR 30.0 mn in 2004 	positive
1896	City24 users can search for homes and properties in all areas where City24 is active , even outside their own country 	neutral
1632	The event can also be viewed as a live webcast at www.cargotec.com 	neutral
3178	The combined value of the orders is almost EUR 3mn 	neutral
770	Managing Director Kari Inkinen says that Sponda 's leasing operations developed highly favourably 	positive
4675	Finnish business software group AffectoGenimap Oyj said its net profit halved to 1.2 mln euro ( $ 1.5 mln ) in the first nine months of 2006 from 2.2 mln euro ( $ 2.8 mln ) in the same period of 2005 	negative
2757	Swedish engineering consultant firm Etteplan is to establish a unit in town Borl+ñnge , by the turn of the month March-April 2008 	neutral
4296	`` The rest of this week 's tapings of Jimmy Kimmel Live have been canceled until he is back on his feet 	neutral
1516	Demonstrations of the broad capabilities of the Mobility Business Suite will be organized during the 3GSM World Congress in Barcelona , from February 12th to 15th 	neutral
3471	- The Group -¦ s profit before taxes was EUR 0,2 7,8 million 	neutral
3479	`` Marimekko aims to expand its distribution network primarily by increasing the number of concept stores and shop-in-shops 	neutral
795	`` Our customers now have the chance to make bookings for all the services they want at one location , '' said Mikko Tuomainen , in-charge of Finnair 's Internet ( sales ) 	positive
2103	Finnish logistics and information solutions provider Done Solutions Corporation ( OMX Helsinki : DSO1V ) reported on Wednesday ( 29 October ) an operating profit of EUR3 .6 m on net sales of EUR35 .1 m for the period January-September 2008 	neutral
244	Operating profit rose to EUR 1.6 mn from EUR 1.1 mn in the corresponding period in 2006 	positive
3203	The company says the measures are no longer needed 	neutral
676	In 2009 , Comptel slipped to a net loss of EUR2 .1 m from a profit of EUR6 .6 m in the previous year 	negative
2275	Finnish construction company Lemminkainen Oyj HEL : LEM1S said yesterday that it would build a plastic film extrusion plant for packaging materials supplier Ab Rani Plast Oy at Lemminkainen 's Kaluga industrial park in Russia 	neutral
595	The company recorded revenues of E658 .1 million during the fiscal year ended December 2007 , an increase of 23 % over 2006 	positive
1071	POYRY PLC Additional information by : Martin Kuzaj , President , Industry Business Group , Finland Tel. +358 10 33 21179 Sanna Paivaniemi , Director , Investor Relations , Poyry PLC , Finland Tel. +358 10 33 23002 Poyry is a global consulting and engineering company dedicated to balanced sustainability 	neutral
994	Turun kaupunkin , Finland based company has awarded contract to Lemminkainen Talotekniikka Oy for electrical installation work 	positive
1027	At CapMan Haavisto will be responsible for Group Finances and Accounting and IT 	neutral
944	Deliveries have started and the network will be ready for a launch soon 	positive
4092	Cash flow from business operations totalled EUR 0.4 mn compared to a negative EUR 15.5 mn in the first half of 2008 	positive
91	`` They would invest not only in the physical infrastructure , but would also provide know-how for managing and developing science and technology parks , '' said Sunrise Valley director Andrius Bagdonas 	positive
346	Marimekko Group 's full-year net sales are estimated to increase by about 10 % 	positive
1680	To showcase our end-to-end capabilities at the Mobile World Congress , we arranged an internal MeeGo application development competition to entice developers to create new applications 	neutral
3207	The company was supposed to deliver machinery to a veneer mill in the Tomsk region , in Russia 	neutral
2704	We offer our customers solutions based on renewable raw materials 	neutral
565	Sales rose 10 pct to 566 mln eur on the back of strong volume and favourable currency effects 	positive
2435	Digia will also set up two subsidiaries , Digia Norway AS and Digia USA Inc. 	neutral
13	Finnish Talentum reports its operating profit increased to EUR 20.5 mn in 2005 from EUR 9.3 mn in 2004 , and net sales totaled EUR 103.3 mn , up from EUR 96.4 mn 	positive
1291	Neomarkka has played a leading role in a group that aims to restart the production of specialty cellulose fiber in Valkeakoski 	neutral
2329	Comptel Corporation will publish its financial statements for 2008 on 12 February 2009 	neutral
4543	Only the driver was left in the car with the suspect , who was kidnapped and forced at gunpoint to drive to Durham 	negative
1706	Employing 112 in Finland and 280 abroad , the unit recorded first-quarter 2007 sales of 8.6 mln eur , with an operating loss of 1.6 mln eur 	negative
1073	Satama and Trainers ' House will remain as names and independent brands of the business areas 	neutral
2148	Metso will provide a recovery boiler with a capacity of 6,800 tonnes of dry solids per day and an evaporation plant with six thermal stages and a capacity of 1,600 tonnes per hour 	neutral
2128	In the end of 2006 , the number of outlets will rise to 60-70 	positive
176	Cargo volume grew by 7 % 	positive
1512	com , and we are constantly planning new ways to serve our customers online on a more comprehensive basis , '' says Matti Leminen , President of Anttila Oy 	positive
700	The Elcoteq group recently announced that the last three months of the previous year brought to it a major loss of more than half a billion kroons ( EUR 32 mln ) for the fifth quarter running 	negative
4621	Finnish construction company YIT is reducing the number of start-ups of market-financed residential units in 2007 to about 2,300 from the previously announced 2,700 	negative
2531	On Dec. 1 , Grimaldi acquired 1.5 million shares and a 50.1-percent stake in Finnlines 	neutral
1137	A new production line is being completed for the contract production of hormone treatments 	positive
371	The airline has ordered nine Airbus A350-900 aircraft with deliveries from 2011 , and in doing so becomes the lead airline for the latest variant of Rolls-Royce Trent series engines , called the 1700 	positive
2080	Aspokem posted an operating profit of 2.7 mln euro ( $ 3.5 mln ) and net sales of 89.1 mln euro ( $ 116.8 mln ) in 2006 	neutral
1036	Finnish Civil Aviation Administration decided to temporarily reopen Finnish capital 's Helsinki airport since 3 p.m. to 11 p.m. Monday local time 	neutral
1655	The solid fuel is heated before sludge is mixed therein . '	neutral
3784	The commission found evidence of several meetings to discuss the cartel , including one in a Brussels restaurant in November 1997 at which the companies discussed price increases 	neutral
2065	`` The announced investment of the carmaker Hyundai for example sounds optimistically for us as of course new cars mean new tires . '	positive
1314	Poyry Energy GmbH is Austria 's leading engineering and consulting company in the energy , infrastructure and environment sector , owned by Poyry Plc. and the Austrian Verbund AG 	neutral
1725	For the full 2010 the company expects its net sales and operating result to improve from the previous year , saying that a positive operating result and its amount will depend on the order intake by the end of the summer 	positive
930	`` We are pleased to deliver the Basware Invoice Automation solution to a major retail company in the US 	positive
2866	Deliveries by Outotec will take place over 30 months 	neutral
3041	Negotiations with representatives of the personnel regarding the restructuring process have now been ended 	neutral
791	The rebuilds are designed to improve the machines ' performance and product quality 	positive
1207	Donations to universities The Annual General Meeting authorized the Board of Directors to donate max 	neutral
3268	The huge bridge girders will be delivered to the site from our plant in Ylivieska , Finland 	neutral
1388	The important thing now is to keep the bank 's existing 15,000 customers 	neutral
2706	Work on the assignment has already started and is due for completion in spring 2011 	neutral
4687	( ADP News ) - Jan 22 , 2009 - Finnish mobile phones maker Nokia Oyj ( OMX : NOK1V ) said today its operating profit decreased to EUR 5 billion ( USD 6.5 bn ) for 2008 from EUR 8 billion for 2007 	negative
4209	Jul. 18 -- Police are looking for a man who they say terrorized three males at gunpoint on East Maple Avenue this afternoon , shooting one of them and kidnapping another 	negative
2109	For Q2 2010 , consolidated earnings before tax totaled EUR4 .5 m , compared to EUR3 .9 m , and net profit was EUR3 .2 m , compared to EUR2 .9 m in the previous year 	positive
2278	Finnish IT consultancy Satama Interactive Oyj posted a net profit of 1.4 mln euro $ 2.0 mln for the first nine months of 2007 , compared to a net loss of 462,000 euro $ 664,000 for the same period of 2006 	positive
3250	The Finnish company has also reached arrangements regarding the working hours and annual holidays 	neutral
1616	The company is owned by the State of Finland and the European Aeronautic Defense and Space Company EADS N.V. Tekla is an international software company that provides solutions for building and construction , energy distribution and municipalities 	neutral
2309	The fair value of investment properties totalled EUR 2,299.9 mn , compared to EUR 2,229.5 mn in the corresponding period in 2009 	positive
4467	The main strength of the cooperation project lies in merging the know-how of two large companies 	positive
797	`` The combined activities will create value for shareholders and be good for our employees and customers 	positive
2547	Product deliveries will not be interrupted , the refiner said , giving no financial details 	neutral
4376	Dolce & Gabbana has asked the European Union to declare Marimekko Corporation 's `` Unikko '' floral pattern trademark invalid , in a continuing dispute between the two companies 	negative
1321	QPR product family is fully compatible with Microsoft 's Windows 7 operating system 	neutral
1884	`` People who enjoy mobile games are often the same customers who enjoy experimenting with new mobile services and content 	neutral
1190	CapMan has four investment areas ( CapMan Buyout , CapMan Technology , CapMan Life Science and CapMan Real Estate ) , and each of them has a dedicated team 	neutral
3096	Protalix closed at $ 10.71 on Friday on the American Stock Exchange , giving a market cap of $ 827 million 	neutral
1904	LIGHTS OUT Before curfew , curl up with the latest bestseller and treat your eyes to the perfect reading light from Luceplan 	neutral
4573	Small investors have voiced fears that the shares will end up with risk investors 	negative
1446	Ulefos Group is the leading supplier of manhole covers in the Nordic countries 	neutral
3254	The firm 's services include copying , printing , CAD-modelling , digital printing , scanning , SokoPro project bank and courier services 	neutral
